the	các
unlike	không giống
equation	phương trình
baskets	giỏ
probability	xác suất
pot	nồi
dimension	kích thước
wright	đúng
img	hình ảnh
barry	Barry
proven	chứng minh
schedules	lịch trình
admissions	tuyển sinh
cached	được lưu vào bộ nhớ đệm
warren	Warren
slip	trượt
studied	đã học
reviewer	người đánh giá
involves	liên quan đến
quarterly	hàng quý
rpm	vòng/phút
profits	lợi nhuận
devil	ác quỷ
grass	cỏ
comply	tuân theo
marie	marie
florist	người bán hoa
illustrated	minh họa
cherry	quả anh đào
continental	lục địa
alternate	Luân phiên
deutsch	tiếng Đức
achievement	thành tích
limitations	hạn chế
kenya	Kenya
webcam	webcam
cuts	vết cắt
funeral	tang lễ
nutten	hạt dẻ
earrings	Hoa tai
enjoyed	rất thích
automated	tự động
chapters	chương
pee	tiểu
charlie	Charlie
quebec	người quebec
nipples	núm vú
passenger	hành khách
convenient	thuận lợi
dennis	dennis
mars	Sao Hoả
francis	Francis
tvs	tivi
sized	có kích thước
manga	truyện
noticed	nhận thấy
socket	ổ cắm
silent	im lặng
literary	văn học
egg	trứng
mhz	mhz
signals	tín hiệu
caps	mũ lưỡi trai
orientation	định hướng
pill	Viên thuốc
theft	trộm cắp
childhood	thời thơ ấu
swing	xích đu
symbols	biểu tượng
lat	vĩ độ
meta	meta
humans	con người
analog	tương tự
facial	mặt
choosing	lựa chọn
talent	tài năng
dated	ngày tháng
flexibility	Uyển chuyển
seeker	người tìm kiếm
wisdom	khôn ngoan
shoot	bắn
boundary	ranh giới
mint	cây bạc hà
packard	người đóng gói
offset	bù lại
payday	ngày trả lương
philip	Philip
elite	ưu tú
gi	gi
spin	quay
holders	người nắm giữ
believes	tin tưởng
swedish	người Thụy Điển
poems	bài thơ
deadline	thời hạn
jurisdiction	quyền hạn
robot	người máy
displaying	hiển thị
witness	nhân chứng
collins	Collin
equipped	đã trang bị
stages	giai đoạn
encouraged	động viên
sur	sur
winds	gió
powder	bột
broadway	đường rộng
acquired	mua
assess	đánh giá
wash	rửa
cartridges	hộp mực
stones	đá
entrance	cổng vào
gnome	thần lùn
roots	rễ
declaration	tuyên ngôn
losing	thua cuộc
attempts	nỗ lực
gadgets	dụng cụ
noble	cao quý
glasgow	Glasgow
automation	tự động hóa
impacts	tác động
rev	vòng quay
gospel	sách Phúc Âm
advantages	thuận lợi
shore	bờ biển
loves	yêu
induced	gây ra
ll	sẽ
knight	Hiệp sỹ
preparing	chuẩn bị
loose	lỏng lẻo
aims	mục đích
recipient	người nhận
linking	liên kết
extensions	tiện ích mở rộng
appeals	kháng cáo
cl	cl
earned	kiếm được
illness	sự ốm yếu
islamic	Hồi giáo
athletics	Thế vận hội
southeast	Đông Nam
ieee	ieee
ho	ho
alternatives	lựa chọn thay thế
pending	chưa giải quyết
parker	người đậu xe
determining	xác định
lebanon	lebanon
corp	tập đoàn
personalized	cá nhân hóa
kennedy	kennedy
gt	gt
sh	sh
conditioning	điều hòa
teenage	thiếu niên
soap	xà bông
ae	ae
triple	gấp ba
cooper	thùng đựng đồ
nyc	New York
vincent	Vincent
jam	mứt
secured	bảo đảm
unusual	bất thường
answered	đã trả lời
partnerships	quan hệ đối tác
destruction	sự phá hủy
slots	khe cắm
increasingly	ngày càng
migration	di cư
disorder	rối loạn
routine	lịch trình
toolbar	thanh công cụ
basically	về cơ bản
rocks	đá
conventional	thông thường
titans	người khổng lồ
applicants	ứng viên
wearing	mặc
axis	trục
sought	tìm kiếm
genes	gen
mounted	gắn kết
habitat	môi trường sống
firewall	bức tường lửa
median	Trung bình
guns	súng
scanner	máy quét
herein	ở đây
occupational	nghề nghiệp
animated	hoạt hình
horny	đam mê
judicial	tư pháp
rio	sông
hs	hs
adjustment	điều chỉnh
hero	anh hùng
integer	số nguyên
treatments	phương pháp điều trị
bachelor	cử nhân
attitude	thái độ
camcorders	máy quay phim
engaged	đính hôn
falling	rơi xuống
basics	điều cơ bản
montreal	Montréal
carpet	thảm
rv	rv
struct	cấu trúc
lenses	ống kính
binary	nhị phân
genetics	di truyền học
attended	tham dự
difficulty	khó khăn
punk	đồ chơi khăm
collective	tập thể
coalition	liên minh
pi	số Pi
dropped	giảm
enrollment	ghi danh
duke	công tước
walter	Walter
ai	ai
pace	nhịp độ
besides	bên cạnh đó
wage	tiền công
producers	nhà sản xuất
ot	ồ
collector	người sưu tầm
arc	vòng cung
hosts	máy chủ
interfaces	giao diện
advertisers	nhà quảng cáo
moments	khoảnh khắc
atlas	bản đồ
strings	dây
dawn	bình minh
representing	đại diện
observation	quan sát
feels	cảm thấy
torture	tra tấn
carl	carl
deleted	đã xóa
coat	áo choàng
mitchell	mitchell
mrs	Bà
rica	rica
restoration	sự phục hồi
convenience	sự tiện lợi
returning	trở về
ralph	ralph
opposition	Sự đối lập
container	thùng đựng hàng
yr	năm
defendant	bị cáo
warner	cảnh báo
confirmation	xác nhận
app	ứng dụng
embedded	nhúng
inkjet	máy in phun
supervisor	người giám sát
wizard	Thuật sĩ
corps	quân đoàn
actors	diễn viên
liver	gan
peripherals	thiết bị ngoại vi
liable	chịu trách nhiệm
brochure	cuốn sách nhỏ
morris	morris
bestsellers	bán chạy nhất
petition	đơn kiến ​​nghị
eminem	eminem
recall	nhớ lại
antenna	ăng-ten
picked	đã chọn
assumed	giả định
departure	sự khởi hành
minneapolis	minneapolis
belief	sự tin tưởng
killing	giết chóc
bikini	bikini
memphis	memphis
shoulder	vai
decor	thiết kế nội thất
lookup	tra cứu
texts	văn bản
harvard	đại học Harvard
brokers	người môi giới
roy	hoàng tử
ion	ion
diameter	đường kính
ottawa	ottawa
doll	BÚP BÊ
ic	ic
podcast	tệp âm thanh
tit	tit
seasons	các mùa
peru	peru
interactions	tương tác
refine	lọc
bidder	người đấu giá
singer	ca sĩ
evans	xe tải
herald	báo trước
literacy	trình độ học vấn
fails	thất bại
aging	sự lão hóa
nike	Nike
intervention	sự can thiệp
pissing	đi tiểu
fed	đã nuôi
plugin	cắm vào
attraction	sự thu hút
diving	lặn
invite	mời
modification	sửa đổi
alice	Alice
latinas	người latin
suppose	giả định
customized	tùy chỉnh
reed	cây lau
involve	liên quan
moderate	vừa phải
terror	khủng bố
younger	trẻ hơn
thirty	ba mươi
mice	chuột
opposite	đối diện
understood	hiểu
rapidly	liên tục
dealtime	thời gian giao dịch
ban	lệnh cấm
temp	nhiệt độ
intro	phần giới thiệu
mercedes	Mercedes
zus	zu
assurance	sự đảm bảo
fisting	đánh tay
clerk	nhân viên văn phòng
happening	đang xảy ra
vast	rộng lớn
mills	nhà máy
outline	đề cương
amendments	sửa đổi
tramadol	tramadol
holland	Hà Lan
receives	nhận được
jeans	Quần jean
metropolitan	đô thị
compilation	biên soạn
verification	xác minh
fonts	phông chữ
ent	ent
odd	số lẻ
wrap	bọc
refers	ám chỉ
mood	tâm trạng
favor	ủng hộ
veterans	cựu chiến binh
quiz	đố
mx	mx
sigma	sigma
gr	gr
attractive	hấp dẫn
xhtml	xhtml
occasion	dịp
recordings	bản ghi âm
jefferson	jefferson
victim	nạn nhân
demands	yêu cầu
sleeping	đang ngủ
careful	cẩn thận
ext	máy lẻ
beam	chùm tia
gardening	làm vườn
obligations	nghĩa vụ
arrive	đến
orchestra	dàn nhạc
sunset	Hoàng hôn
tracked	theo dõi
moreover	Hơn thế nữa
minimal	tối thiểu
polyphonic	đa âm
lottery	vé số
tops	ngọn
framed	đóng khung
aside	qua một bên
outsourcing	gia công phần mềm
licence	giấy phép
adjustable	có thể điều chỉnh
allocation	phân bổ
michelle	Michelle
essay	tiểu luận
discipline	kỷ luật
amy	Amy
demonstrated	chứng minh
dialogue	hội thoại
identifying	xác định
alphabetical	theo bảng chữ cái
camps	trại
declared	khai báo
dispatched	phái đi
aaron	Aaron
handheld	cầm tay
trace	dấu vết
disposal	xử lý
shut	đóng lại
florists	người bán hoa
packs	gói
ge	ge
installing	cài đặt
switches	công tắc
romania	Rumani
voluntary	tình nguyện
ncaa	ncaa
thou	bạn
consult	tham khảo ý kiến
phd	Bằng tiến sĩ
greatly	rất nhiều
blogging	viết blog
mask	mặt nạ
cycling	đạp xe
midnight	nửa đêm
ng	ng
commonly	thông thường
pe	Thể dục
photographer	nhiếp ảnh gia
inform	thông báo
turkish	tiếng Thổ Nhĩ Kỳ
coal	than đá
cry	khóc
messaging	nhắn tin
pentium	pentium
quantum	lượng tử
murray	Murray
intent	ý định
tt	tt
zoo	vườn bách thú
largely	phần lớn
pleasant	dễ thương
announce	thông báo
constructed	được xây dựng
additions	bổ sung
requiring	yêu cầu
spoke	nói chuyện
aka	hay còn gọi là
arrow	mũi tên
engagement	hôn ước
sampling	lấy mẫu
rough	thô
weird	kỳ quặc
tee	phát bóng
refinance	tái cấp vốn
lion	con sư tử
inspired	lấy cảm hứng
holes	hố
weddings	đám cưới
blade	lưỡi
suddenly	đột nhiên
oxygen	ôxy
cookie	bánh quy
meals	bữa ăn
canyon	hẻm núi
goto	đi đến
meters	mét
merely	chỉ đơn thuần là
calendars	lịch
arrangement	sắp xếp
conclusions	kết luận
passes	vượt qua
bibliography	thư mục
pointer	con trỏ
compatibility	khả năng tương thích
stretch	kéo dài
durham	Durham
furthermore	hơn nữa
permits	giấy phép
cooperative	hợp tác xã
muslim	Hồi
xl	xl
neil	Neil
sleeve	tay áo
netscape	cảnh quan mạng
cleaner	sạch hơn
cricket	bóng chày
beef	thịt bò
feeding	cho ăn
stroke	đột quỵ
township	thị trấn
rankings	bảng xếp hạng
measuring	đo lường
cad	cad
hats	mũ
robin	chim cổ đỏ
robinson	robinson
jacksonville	jacksonville
strap	dây đeo
headquarters	trụ sở chính
sharon	Sharon
crowd	đám đông
tcp	tcp
transfers	chuyển nhượng
surf	lướt sóng
olympic	thế vận hội
transformation	sự biến đổi
remained	vẫn
attachments	tệp đính kèm
dv	dv
dir	thư mục
entities	thực thể
customs	phong tục
administrators	quản trị viên
personality	nhân cách
rainbow	cầu vồng
hook	cái móc
roulette	roulette
decline	sự suy sụp
gloves	găng tay
israeli	người Israel
medicare	thuốc men
cord	dây
skiing	trượt tuyết
cloud	đám mây
facilitate	tạo điều kiện
subscriber	người đăng kí
valve	van
val	giá trị
hewlett	hewlett
explains	giải thích
proceed	tiếp tục
flickr	Flickr
feelings	cảm xúc
knife	dao
jamaica	Jamaica
priorities	ưu tiên
shelf	cái kệ
bookstore	hiệu sách
timing	thời gian
liked	đã thích
parenting	nuôi dạy con cái
adopt	nhận nuôi
denied	từ chối
fotos	bức ảnh
incredible	đáng kinh ngạc
britney	britney
freeware	phần mềm miễn phí
fucked	chết tiệt
donation	Quyên góp
outer	bên ngoài
crop	mùa vụ
deaths	cái chết
rivers	sông
commonwealth	liên bang
pharmaceutical	dược phẩm
manhattan	thành phố Manhattan
tales	truyện cổ tích
katrina	katrina
workforce	lực lượng lao động
islam	đạo Hồi
nodes	điểm giao
tu	bạn
fy	fy
thumbs	ngón tay cái
seeds	hạt giống
cited	trích dẫn
lite	nhẹ nhàng
ghz	ghz
hub	trung tâm
targeted	nhắm mục tiêu
organizational	tổ chức
skype	Ứng dụng trò chuyện
realized	nhận ra
twelve	mười hai
founder	người sáng lập
decade	thập kỷ
gamecube	gamecube
rr	rr
dispute	tranh luận
portuguese	người Bồ Đào Nha
tired	mệt
titten	ngực
adverse	bất lợi
everywhere	mọi nơi
excerpt	đoạn trích
eng	tiếng anh
steam	hơi nước
discharge	phóng điện
ef	ef
drinks	đồ uống
ace	át chủ
voices	tiếng nói
acute	nhọn
halloween	lễ hội halloween
climbing	leo
stood	đứng
sing	hát
tons	tấn
perfume	nước hoa
carol	bài hát mừng
honest	trung thực
albany	người al-bany
hazardous	nguy hiểm
restore	khôi phục
stack	cây rơm
methodology	phương pháp luận
somebody	có ai
sue	kiện
housewares	đồ gia dụng
reputation	danh tiếng
resistant	kháng cự
democrats	nhà dân chủ
recycling	tái chế
hang	treo
gbp	gbp
curve	đường cong
creator	người sáng tạo
amber	hổ phách
qualifications	bằng cấp
museums	viện bảo tàng
coding	mã hóa
slideshow	trình chiếu
tracker	người theo dõi
variation	biến thể
passage	đoạn văn
transferred	chuyển nhượng
trunk	Thân cây
hiking	đi bộ đường dài
lb	lb
damn	chết tiệt
pierre	Pierre
jelsoft	jelsoft
headset	tai nghe
photograph	ảnh chụp
oakland	vùng đất sồi
colombia	Colombia
waves	sóng
camel	con lạc đà
distributor	nhà phân phối
lamps	đèn
underlying	cơ bản
hood	Mui xe
wrestling	đấu vật
suicide	tự tử
archived	đã lưu trữ
photoshop	photoshop
jp	jp
chi	khí
bt	bt
arabia	Ả Rập
gathering	thu thập
projection	phép chiếu
juice	nước ép
chase	đuổi
mathematical	toán học
logical	hợp lý
sauce	nước xốt
fame	danh tiếng
extract	trích xuất
specialized	chuyên
diagnostic	chẩn đoán
panama	panama
indianapolis	Indianapolis
af	af
payable	phải trả
corporations	tập đoàn
courtesy	lịch sự
criticism	sự chỉ trích
automobile	ô tô
confidential	bảo mật
rfc	rfc
statutory	theo luật định
accommodations	chỗ ở
athens	Athens
northeast	hướng đông bắc
downloaded	đã tải xuống
judges	ban giám khảo
sl	sl
seo	seo
retired	đã nghỉ hưu
isp	con ong
remarks	nhận xét
detected	phát hiện
decades	thập kỷ
paintings	những bức tranh
walked	đi bộ
arising	phát sinh
nissan	Nissan
bracelet	vòng đeo tay
ins	trong
eggs	trứng
juvenile	vị thành niên
injection	mũi tiêm
yorkshire	yorkshire
populations	quần thể
protective	bảo vệ
afraid	sợ
acoustic	âm học
railway	đường sắt
cassette	băng cassette
initially	ban đầu
indicator	chỉ báo
pointed	nhọn
hb	hb
jpg	jpg
causing	gây ra
mistake	sai lầm
norton	Norton
locked	bị khóa
eliminate	loại bỏ
tc	tc
fusion	dung hợp
mineral	khoáng sản
sunglasses	kính râm
ruby	hồng ngọc
steering	Hệ thống lái
beads	hạt
fortune	vận may
preference	sự ưa thích
canvas	Tranh sơn dầu
threshold	ngưỡng
parish	giáo xứ
claimed	đã tuyên bố
screens	màn hình
cemetery	nghĩa trang
planner	người lập kế hoạch
croatia	Croatia
flows	chảy
stadium	sân vận động
venezuela	Venezuela
exploration	thăm dò
mins	phút
fewer	ít hơn
sequences	trình tự
coupon	phiếu mua hàng
nurses	y tá
ssl	ssl
stem	thân cây
proxy	Ủy quyền
gangbang	tập thể
astronomy	thiên văn học
lanka	lanka
opt	opt
edwards	edwards
drew	đã vẽ
contests	cuộc thi
flu	cúm
translate	dịch
announces	thông báo
mlb	mlb
costume	trang phục
tagged	được gắn thẻ
berkeley	Berkeley
voted	đã bình chọn
killer	sát thủ
bikes	xe đạp
gates	cổng
adjusted	điều chỉnh
rap	rap
tune	điều chỉnh
bishop	giám mục
pulled	kéo
corn	Ngô
gp	gp
shaped	có hình dạng
compression	nén
seasonal	theo mùa
establishing	thiết lập
farmer	nông dân
counters	quầy
puts	đặt
constitutional	hiến pháp
grew	lớn lên
perfectly	hoàn hảo
tin	thiếc
slave	nô lệ
instantly	ngay lập tức
cultures	nền văn hóa
norfolk	người dân bình thường
coaching	huấn luyện
examined	đã kiểm tra
trek	hành trình
encoding	mã hóa
litigation	kiện tụng
submissions	bài nộp
oem	oem
heroes	anh hùng
painted	Sơn
lycos	lyco
ir	tôi
zdnet	zdnet
broadcasting	phát thanh truyền hình
horizontal	nằm ngang
artwork	tác phẩm nghệ thuật
cosmetic	mỹ phẩm
resulted	kết quả
portrait	chân dung
terrorist	khủng bố
informational	thông tin
ethical	đạo đức
carriers	người vận chuyển
ecommerce	thương mại điện tử
mobility	tính di động
floral	hoa
builders	người xây dựng
ties	quan hệ
struggle	đấu tranh
schemes	kế hoạch
suffering	đau khổ
neutral	trung lập
fisher	người câu cá
rat	con chuột
spears	ngọn giáo
prospective	triển vọng
dildos	dương vật giả
bedding	chăn ga gối đệm
ultimately	cuối cùng
joining	tham gia
heading	phần mở đầu
equally	bằng nhau
artificial	nhân tạo
bearing	Ổ đỡ trục
spectacular	hùng vĩ
coordination	phối hợp
connector	kết nối
brad	brad
combo	kết hợp
seniors	người lớn tuổi
worlds	thế giới
guilty	tội lỗi
affiliated	liên kết
activation	kích hoạt
naturally	một cách tự nhiên
haven	trú ẩn
tablet	viên thuốc
jury	bồi thẩm đoàn
dos	việc nên làm
tail	đuôi
subscribers	người đăng ký
charm	quyến rũ
lawn	bãi cỏ
violent	hung bạo
mitsubishi	mitsubishi
underwear	đồ lót
basin	lòng chảo
soup	canh
potentially	có tiềm năng
ranch	trang trại
constraints	hạn chế
crossing	băng qua
inclusive	bao gồm
dimensional	chiều
cottage	ngôi nhà tranh
drunk	say rượu
considerable	đáng kể
crimes	tội ác
resolved	đã giải quyết
mozilla	mozilla
byte	byte
toner	mực toner
nose	mũi
latex	mủ cao su
branches	chi nhánh
anymore	nữa không
oclc	oclc
delhi	Delhi
holdings	cổ phần
alien	người ngoài hành tinh
locator	máy định vị
selecting	lựa chọn
processors	bộ vi xử lý
pantyhose	quần tất
plc	plc
broke	phá sản
nepal	nepal
zimbabwe	zimbabwe
difficulties	nỗi khó khăn
juan	juan
complexity	sự phức tạp
msg	tin nhắn
constantly	liên tục
browsing	duyệt
resolve	giải quyết
barcelona	Barcelona
presidential	tổng thống
documentary	phim tài liệu
cod	cá tuyết
territories	lãnh thổ
melissa	Melissa
moscow	Mátxcơva
thesis	luận án
thru	xuyên qua
jews	người Do Thái
nylon	nylon
palestinian	người Palestine
discs	đĩa
rocky	nhiều đá
bargains	món hời
frequent	thường xuyên
trim	cắt tỉa
nigeria	nigeria
ceiling	trần nhà
pixels	điểm ảnh
ensuring	đảm bảo
hispanic	người Tây Ban Nha
cv	cv
cb	cb
legislature	cơ quan lập pháp
hospitality	lòng hiếu khách
gen	thế hệ
anybody	bất cứ ai
procurement	tạp vụ
diamonds	kim cương
espn	đặc biệt
fleet	hạm đội
untitled	không có tiêu đề
bunch	bó
totals	tổng số
marriott	marriott
singing	ca hát
theoretical	lý thuyết
afford	đủ khả năng
exercises	bài tập
starring	đóng vai chính
referral	giới thiệu
nhl	nhl
surveillance	giám sát
optimal	tối ưu
quit	từ bỏ
distinct	riêng biệt
protocols	giao thức
lung	phổi
highlight	điểm nổi bật
substitute	thay thế
inclusion	bao gồm
hopefully	hy vọng
brilliant	xuất sắc
turner	người quay vòng
sucking	mút
cents	xu
reuters	reuters
ti	tôi
fc	fc
gel	gel
todd	trẻ mới biết đi
spoken	nói
omega	omega
evaluated	đánh giá
stayed	đã ở lại
civic	công dân
assignments	bài tập
fw	ôi
manuals	hướng dẫn sử dụng
doug	bột
sees	nhìn
termination	chấm dứt
watched	đã xem
saver	tiết kiệm
thereof	của nó
grill	nướng
households	hộ gia đình
gs	gs
redeem	chuộc lại
rogers	roger
grain	ngũ cốc
aaa	aaa
authentic	thật
regime	chế độ
wanna	muốn
wishes	mong muốn
bull	bò đực
montgomery	Montgomery
architectural	kiến trúc
louisville	Louisville
depend	phụ thuộc
differ	khác nhau
macintosh	macintosh
movements	sự di chuyển
ranging	khác nhau
monica	Monica
repairs	sửa chữa
breath	hơi thở
amenities	tiện nghi
virtually	hầu như
cole	cole
mart	siêu thị
candle	nến
hanging	treo
colored	màu sắc rực rỡ
authorization	ủy quyền
tale	câu chuyện
verified	đã xác minh
lynn	lynn
formerly	trước kia
projector	máy chiếu
bp	bp
situated	nằm
comparative	so sánh
std	tiêu chuẩn
seeks	tìm kiếm
herbal	thảo dược
loving	thương
strictly	nghiêm ngặt
routing	lộ trình
docs	tài liệu
stanley	Stanley
psychological	tâm lý
surprised	ngạc nhiên
retailer	người bán lẻ
vitamins	vitamin
elegant	thanh lịch
gains	lợi ích
renewal	sự đổi mới
vid	video
genealogy	phả hệ
opposed	phản đối
deemed	coi là
scoring	ghi điểm
expenditure	chi phí
panties	quần lót
brooklyn	brooklyn
liverpool	ganpool
sisters	chị em gái
critics	nhà phê bình
connectivity	kết nối
spots	điểm
oo	ồ
algorithms	thuật toán
hacker	Tin tặc
madrid	Madrid
similarly	tương tự
margin	lề
coin	đồng tiền
bbw	béo
solely	cô độc
fake	giả mạo
salon	thẩm mỹ viện
collaborative	hợp tác
norman	Norman
fda	fda
excluding	loại trừ
turbo	bộ tăng áp
headed	đứng đầu
voters	cử tri
cure	sự chữa bệnh
madonna	madonna
commander	chỉ huy
arch	vòm
ni	ni
murphy	Murphy
thinks	nghĩ
thats	đó là
suggestion	gợi ý
hdtv	hdtv
soldier	lính
phillips	Phillips
asin	ngu xuẩn
aimed	nhằm vào
justin	Justin
bomb	bom
harm	làm hại
interval	khoảng thời gian
mirrors	gương
spotlight	điểm sáng
tricks	thủ thuật
reset	cài lại
brush	chải
investigate	khảo sát
thy	của mày
expansys	mở rộng
panels	tấm
repeated	lặp đi lặp lại
assault	tấn công
connecting	Đang kết nối
spare	dự phòng
logistics	hậu cần
deer	con nai
kodak	kodak
tongue	lưỡi
bowling	bowling
tri	tri
danish	người Đan Mạch
pal	bạn
monkey	con khỉ
proportion	tỷ lệ
filename	tên tập tin
skirt	váy ngắn
florence	Florence
invest	đầu tư
honey	Mật ong
um	ừm
analyses	phân tích
drawings	bản vẽ
significance	ý nghĩa
scenario	kịch bản
ye	ừ
fs	fs
lovers	những người yêu nhau
atomic	nguyên tử
approx	khoảng
symposium	hội nghị chuyên đề
arabic	tiếng Ả Rập
gauge	máy đo
essentials	những thứ thiết yếu
junction	giao lộ
protecting	bảo vệ
nn	nn
faced	phải đối mặt
mat	chiếu
rachel	rachel
solving	giải quyết
transmitted	truyền đi
weekends	nhưng ngay cuối tuần
screenshots	ảnh chụp màn hình
produces	sản xuất
oven	lò vi sóng
ted	Ted
intensive	căng
chains	dây chuyền
kingston	kingston
sixth	thứ sáu
engage	đính hôn
deviant	lệch lạc
noon	buổi trưa
switching	chuyển đổi
quoted	trích dẫn
adapters	bộ điều hợp
correspondence	thư tín
farms	trang trại
imports	nhập khẩu
supervision	giám sát
cheat	gian lận
bronze	đồng
expenditures	chi tiêu
sandy	cát
separation	tách biệt
testimony	lời khai
suspect	nghi ngờ
celebrities	người nổi tiếng
macro	vĩ mô
sender	người gửi
mandatory	bắt buộc
boundaries	ranh giới
crucial	chủ yếu
syndication	sự phân phối
gym	phòng thể dục
celebration	lễ ăn mừng
kde	kde
adjacent	liền kề
filtering	lọc
tuition	học phí
spouse	vợ chồng
exotic	kỳ lạ
viewer	người xem
signup	đăng ký
threats	các mối đe dọa
luxembourg	luxembourg
puzzles	câu đố
reaching	đạt
vb	vb
damaged	Bị hư hại
cams	máy quay
receptor	thụ thể
piss	đái
laugh	cười
joel	joel
surgical	phẫu thuật
destroy	hủy hoại
citation	trích dẫn
pitch	sân bóng đá
autos	ô tô
yo	yo
premises	cơ sở
perry	quả lê
proved	đã chứng minh
offensive	phản cảm
imperial	thành nội
dozen	tá
benjamin	benjamin
deployment	triển khai
teeth	răng
cloth	vải
studying	học
colleagues	đồng nghiệp
stamp	con tem
lotus	hoa sen
salmon	cá hồi
olympus	olympus
separated	ly thân
proc	quá trình
cargo	hàng hóa
tan	rám nắng
directive	chỉ thị
fx	ngoại hối
salem	salem
mate	bạn
dl	dl
starter	món khai vị
upgrades	nâng cấp
likes	thích
butter	bơ
pepper	hạt tiêu
weapon	vũ khí
luggage	hành lý
burden	gánh nặng
chef	đầu bếp
tapes	băng
zones	khu vực
races	chủng tộc
isle	hòn đảo
stylish	sành điệu
slim	mảnh khảnh
maple	cây phong
luke	Luke
grocery	cửa hàng tạp hóa
offshore	ngoài khơi
governing	quản lý
retailers	nhà bán lẻ
depot	kho chứa
kenneth	kenneth
comp	máy tính
alt	thay thế
pie	bánh
blend	trộn
harrison	Harrison
ls	ls
julie	Julie
occasionally	thỉnh thoảng
cbs	cbs
attending	tham dự
emission	khí thải
pete	pete
spec	thông số kỹ thuật
finest	tốt nhất
realty	thực tế
janet	Janet
bow	cây cung
penn	đồng xu
recruiting	tuyển dụng
apparent	rõ ràng
instructional	giảng dạy
phpbb	phpbb
autumn	mùa thu
traveling	đi du lịch
probe	thăm dò
midi	midi
permissions	quyền
biotechnology	công nghệ sinh học
toilet	phòng vệ sinh
ranked	được xếp hạng
jackets	áo khoác
routes	tuyến đường
packed	đóng gói
excited	hào hứng
outreach	tiếp cận cộng đồng
helen	Helen
mounting	gắn
recover	hồi phục
tied	bị ràng buộc
lopez	lopez
balanced	cân bằng
prescribed	quy định
catherine	Catherine
timely	hợp thời
talked	nói chuyện
upskirts	vén váy
debug	gỡ lỗi
delayed	bị trì hoãn
chuck	mâm cặp
reproduced	tái sản xuất
hon	em yêu
dale	thung lũng
explicit	rõ ràng
calculation	phép tính
villas	biệt thự
ebook	sách điện tử
consolidated	hợp nhất, củng cố
boob	ngực
exclude	loại trừ
peeing	đi tiểu
occasions	dịp
brooks	dòng suối
equations	phương trình
newton	newton
oils	dầu
sept	tháng chín
exceptional	đặc biệt
anxiety	sự lo lắng
bingo	chơi lô tô
whilst	trong khi
spatial	không gian
respondents	người trả lời
unto	cho đến
lt	nó
ceramic	gốm sứ
prompt	lời nhắc
precious	quý giá
minds	tâm trí
annually	hàng năm
considerations	cân nhắc
scanners	máy quét
atm	ATM
xanax	xanax
eq	eq
pays	thanh toán
cox	đồng xu
fingers	ngón tay
sunny	nhiều nắng
ebooks	sách điện tử
delivers	mang lại
je	tôi
queensland	vương quốc queensland
necklace	vòng cổ
musicians	nhạc sĩ
leeds	leed
composite	hỗn hợp
unavailable	không có sẵn
cedar	cây tuyết tùng
arranged	được sắp xếp
lang	lang
theaters	rạp hát
advocacy	vận động
raleigh	raleigh
stud	đinh tán
fold	nếp gấp
essentially	Thiết yếu
designing	thiết kế
threaded	xâu chuỗi
uv	tia cực tím
qualify	đủ điều kiện
fingering	ngón tay
blair	blair
hopes	hy vọng
assessments	đánh giá
cms	cmt
mason	thợ nề
diagram	biểu đồ
burns	bỏng
pumps	máy bơm
slut	đĩ
ejaculation	xuất tinh
footwear	giày dép
sg	sg
vic	nạn nhân
beijing	Bắc Kinh
peoples	các dân tộc
victor	người chiến thắng
mario	mario
pos	tư thế
attach	gắn
licenses	giấy phép
utils	tiện ích
removing	loại bỏ
advised	khuyên
brunswick	brunswick
spider	nhện
phys	thể chất
ranges	các dãy
pairs	cặp
sensitivity	nhạy cảm
trails	những con đường mòn
preservation	sự bảo tồn
hudson	hudson
isolated	bị cô lập
calgary	ca-gô-la
interim	tạm thời
assisted	được hỗ trợ
divine	thần thánh
streaming	phát trực tuyến
approve	chấp thuận
chose	đã chọn
compound	hợp chất
intensity	cường độ
technological	công nghệ
syndicate	tổ chức
abortion	sự phá thai
dialog	hộp thoại
venues	địa điểm
blast	vụ nổ
wellness	sức khỏe
calcium	canxi
newport	cảng mới
antivirus	chống virus
addressing	địa chỉ
pole	cây sào
discounted	giảm giá
indians	Ấn Độ
shield	cái khiên
harvest	mùa gặt
membrane	màng
prague	Praha
previews	xem trước
bangladesh	bangladesh
constitute	cấu tạo
locally	tại địa phương
concluded	kết luận
pickup	nhặt lên
desperate	tuyệt vọng
mothers	các bà mẹ
nascar	nscar
iceland	Nước Iceland
demonstration	cuộc biểu tình
governmental	chính phủ
manufactured	được sản xuất
candles	Nến
graduation	tốt nghiệp
mega	siêu cấp
bend	bẻ cong
sailing	đi thuyền
variations	biến thể
moms	các bà mẹ
sacred	Linh thiêng
addiction	nghiện
morocco	Ma-rốc
chrome	trình duyệt Chrome
tommy	Tommy
springfield	cánh đồng suối
refused	bị từ chối
brake	phanh
exterior	ngoại thất
greeting	Lời chào
ecology	sinh thái
oliver	ô liu
congo	Công-gô
glen	Glen
botswana	Botswana
nav	điều hướng
delays	sự chậm trễ
synthesis	tổng hợp
olive	Ôliu
undefined	không xác định
unemployment	nạn thất nghiệp
cyber	mạng
verizon	verizon
